Book 1,Book 2,Book 3,Facet,Selection,Selected Answer Nr.,Agreement,Answers
01,02,03,atmosphere,unsure,-1,0.5,2
01,02,03,content,01==03,2,1.0,1
01,02,03,location,01==03,2,1.0,1
01,02,03,plot,unsure,-1,0.5,2
01,02,03,time,01==03,2,1.0,1
01,02,03,total,01==03,2,1.0,1
01,02,06,atmosphere,unsure,-1,0.5,2
01,02,06,content,unsure,-1,0.5,2
01,02,06,location,unsure,-1,0.5,2
01,02,06,plot,unsure,-1,0.5,2
01,02,06,time,02==06,3,1.0,1
01,02,06,total,02==06,3,1.0,1
01,02,07,atmosphere,unsure,-1,0.5,2
01,02,07,content,01==02,1,1.0,1
01,02,07,location,01==02,1,1.0,1
01,02,07,plot,unsure,-1,0.5,2
01,02,07,total,01==02,1,1.0,1
01,02,09,atmosphere,01==02,1,1.0,1
01,02,09,total,unsure,-1,0.5,2
01,03,06,atmosphere,01==03,1,0.75,4
01,03,06,content,01==03,1,0.75,4
01,03,06,location,01==03,1,1.0,1
01,03,06,plot,01==03,1,0.75,4
01,03,06,time,01==03,1,1.0,1
01,03,06,total,01==03,1,1.0,1
01,03,07,atmosphere,01==03,1,1.0,1
01,03,07,content,01==03,1,0.8,5
01,03,07,location,01==03,1,1.0,1
01,03,07,plot,01==03,1,0.8,5
01,03,07,time,01==03,1,1.0,1
01,03,07,total,01==03,1,1.0,1
01,03,09,atmosphere,01==03,1,1.0,1
01,03,09,content,01==03,1,0.8333333333333334,6
01,03,09,location,01==03,1,1.0,1
01,03,09,plot,01==03,1,0.6666666666666666,6
01,03,09,time,01==03,1,1.0,1
01,03,09,total,01==03,1,1.0,1
01,03,14,atmosphere,01==03,1,0.8,5
01,03,14,content,01==03,1,1.0,1
01,03,14,location,01==03,1,1.0,1
01,03,14,plot,01==14,2,0.6666666666666666,3
01,03,14,time,01==03,1,1.0,1
01,03,14,total,01==03,1,1.0,1
01,03,20,atmosphere,01==03,1,0.6,5
01,03,20,content,01==03,1,1.0,1
01,03,20,location,01==03,1,1.0,1
01,03,20,plot,unsure,-1,0.3333333333333333,3
01,03,20,time,unsure,-1,0.5,2
01,03,20,total,01==03,1,0.6,5
01,06,09,atmosphere,01==09,2,1.0,1
01,06,09,content,06==09,3,1.0,1
01,06,09,location,01==06,1,1.0,1
01,06,09,plot,01==06,1,1.0,1
01,06,09,time,01==06,1,1.0,1
